pub_date	title	venue	excerpt	citation	url_slug	paper_url
10/1/13	Structural and Kinetic Study of an Internal Substrate Binding Site in Dehaloperoxidase-Hemoglobin A from Amphitrite ornata	Biochemistry		"<strong>Jing Zhao</strong>, Vesna de Serrano, Junjie Zhao, Peter Le, Stefan Franzen*.  <i>Biochemistry</i>. 2013, 52(14), pp 2427-2439."	paper-title-number-1	http://pubs.acs.org/doi/abs/10.1021/bi301307f
10/1/13	Kinetic Study of the Inhibition Mechanism of Dehaloperoxidase-Hemoglobin A by 4-Bromophenol.	J Phys. Chem. B		"<strong>Jing Zhao</strong>, Stefan Franzen*, <i>J. Phys. Chem. B</i>, 2013, 117 (28), pp 8301-8309."	paper-title-number-2	http://pubs.acs.org/doi/abs/10.1021/jp3116353
10/1/13	The regulatory implications of hydroquinone for the multifunctional enzyme dehaloperoxidase-hemoglobin from Amphitrite ornata.	J Phys. Chem. B		"<strong>Jing Zhao</strong>, Junjie Zhao, Stefan Franzen*, <i>J. Phys. Chem. B</i>, 2013, 117 (47), pp 14615-24."	paper-title-number-3	http://pubs.acs.org/doi/full/10.1021/jp407663n
